,Address,Bath,Bed,Price,Property Type,sf
284,3275 Firhill Drive,3,5,"$824,900",R2281332,3083
285,32082 Tims Avenue,2,5,"$799,999",R2281364,2420
286,214-33738 King Road,2,2,"$329,900",R2281662,929
287,103-32910 Amicus Place,1,2,"$299,900",R2280007,977
288,8-33293 E Bourquin Crescent,3,3,"$415,000",R2280966,2094
289,1286 Ross Road,0,0,"$2,599,000",R2281326,0
290,41010 No. 2 Road,5,5,"$2,149,700",R2281294,2784
291,35224 Mckee Road,2,4,"$689,000",R2281005,1760
292,402-2990 Boulder Street,2,2,"$389,999",R2281579,1000
293,103-2533 Marcet Court,3,3,"$469,000",R2281494,1446
294,2087 Emerson Street,3,5,"$734,800",House,2800
295,116-2860 Trethewey Street,1,1,"$475,000",R2281278,1087
296,27637 Signal Court,4,6,"$859,900",R2281468,2875
297,129-4001 Old Clayburn Road,3,4,"$749,900",R2281435,2888
298,19-32858 Landeau Place,4,3,"$480,000",R2281481,2030
299,207-1909 Salton Road,1,2,"$278,000",R2281385,919
300,36400 Epworth Court,7,5,"$1,679,000",R2281595,4907
301,3440 Promontory Court,5,7,"$1,050,000",R2281173,4025
302,418-2678 Mccallum Road,1,1,"$210,000",R2281544,730
303,10-33293 E Bourquin Crescent,3,3,"$500,000",R2280893,1700
304,303-2955 Diamond Crescent,1,1,"$319,800",R2280507,795
305,35349 Belanger Drive,4,3,"$1,174,999",R2281172,3290
306,3115 Mouat Drive,3,4,"$864,700",R2281436,2680
307,29-1973 Winfield Drive,3,3,"$549,900",R2280977,2262
308,112-2990 Boulder Street,2,2,"$369,900",R2281408,950
309,35064 Laburnum Avenue,3,4,"$729,900",R2281079,1961
310,112-33030 George Ferguson Way,2,2,"$314,900",R2281378,1213
311,221-32725 George Ferguson Way,2,2,"$344,900",R2280983,920
312,304-2526 Lakeview Crescent,2,2,"$329,900",R2281361,946
313,31127 Kingfisher Place,4,5,"$979,900",R2280965,4448
314,203-2211 Clearbrook Road,1,1,"$269,900",R2281217,660
315,2626 Mitchell Street,3,4,"$839,900",House,1939
316,27802 Pullman Avenue,3,4,"$924,900",R2281095,3343
317,111-32725 George Ferguson Way,2,2,"$325,000",R2279225,912
318,32070 Mt Waddington Avenue,1,2,"$800,000",R2281182,1390
319,2810 Pacific Place,3,5,"$819,000",R2281045,2922
320,27644 Lundeberg Avenue,4,6,"$1,149,000",R2281106,3988
321,25-33293 E Bourquin Crescent,3,3,"$499,000",R2280817,1633
322,5065 Glenmore Road,3,4,"$1,449,000",R2280749,1800
323,35535 Eagle Summit Drive,5,5,"$1,350,000",R2280508,5571
324,202-33728 King Road,2,2,"$345,000",R2280414,947
325,29652 Huntingdon Road,6,4,"$2,399,000",R2280564,4770
326,2734 Sheffield Way,5,7,"$1,488,800",R2279404,3300
327,402-33688 King Road,2,2,"$329,999",R2280820,924
